trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.995, 'e': 0.6149486215357264}",25,0,-86.56252196222316,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.995, 'e': 0.6118738784280477}",30,12,-46.911913403793285,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
100,False,"{'a': 0.995, 'e': 0.6088145090359075}",30,0,-103.76889355622889,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
101,False,"{'a': 0.995, 'e': 0.6057704364907279}",25,10,-25.98994929080346,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.995, 'e': 0.6027415843082743}",25,0,-11.178570287335031,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.995, 'e': 0.599727876386733}",25,2,-44.442909887197914,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.995, 'e': 0.5967292370047993}",30,1,-79.47186378634946,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 1}",1
105,False,"{'a': 0.995, 'e': 0.5937455908197753}",30,0,-88.81949479793441,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
106,False,"{'a': 0.995, 'e': 0.5907768628656764}",30,9,-91.04342081077893,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 1}",1
107,False,"{'a': 0.995, 'e': 0.587822978551348}",20,0,-141.35331153302053,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
108,False,"{'a': 0.995, 'e': 0.5848838636585912}",25,0,-11.442133795484054,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
109,False,"{'a': 0.995, 'e': 0.5819594443402983}",20,13,-38.59839321840527,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.995, 'e': 0.5790496471185967}",20,0,-20.09937945543015,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.995, 'e': 0.5761543988830038}",25,0,-122.60527608539388,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
112,False,"{'a': 0.995, 'e': 0.5732736268885887}",30,0,-50.49472259322475,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.995, 'e': 0.5704072587541459}",20,0,-40.9748967844978,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
114,False,"{'a': 0.995, 'e': 0.5675552224603752}",20,12,0.07621328302947994,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.995, 'e': 0.5647174463480732}",25,0,-97.99654261757756,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
116,False,"{'a': 0.995, 'e': 0.5618938591163328}",30,0,-67.18622667963665,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
